Year,Length,NPositive,NNegative,PPositive,PNegative,Polarity,Subjectivity,Bank,Report,Dictionary
2016,2864,658,130,0.2297,0.0454,0.6701,0.2751,Lakshmi Vilas,Director Report,Harvard-IV
2017,4072,886,181,0.2176,0.0444,0.6607,0.262,Lakshmi Vilas,Director Report,Harvard-IV
2018,4044,886,192,0.2191,0.0475,0.6438,0.2666,Lakshmi Vilas,Director Report,Harvard-IV
2019,4353,952,166,0.2187,0.0381,0.703,0.2568,Lakshmi Vilas,Director Report,Harvard-IV
2020,5460,1129,263,0.2068,0.0482,0.6221,0.2549,Lakshmi Vilas,Director Report,Harvard-IV
2011,900,31,33,0.0344,0.0367,-0.0312,0.0711,Dhanalakshmi,Director Report,Loughran & McDonald
2012,900,31,33,0.0344,0.0367,-0.0312,0.0711,Dhanalakshmi,Director Report,Loughran & McDonald
2013,1132,65,42,0.0574,0.0371,0.215,0.0945,Dhanalakshmi,Director Report,Loughran & McDonald
2014,1571,57,48,0.0363,0.0306,0.0857,0.0668,Dhanalakshmi,Director Report,Loughran & McDonald
2015,1740,58,67,0.0333,0.0385,-0.072,0.0718,Dhanalakshmi,Director Report,Loughran & McDonald
2018,2754,72,79,0.0261,0.0287,-0.0464,0.0548,Dhanalakshmi,Director Report,Loughran & McDonald
2019,2064,45,65,0.0218,0.0315,-0.1818,0.0533,Dhanalakshmi,Director Report,Loughran & McDonald
2020,2102,55,55,0.0262,0.0262,0,0.0523,Dhanalakshmi,Director Report,Loughran & McDonald
2021,2091,52,59,0.0249,0.0282,-0.0631,0.0531,Dhanalakshmi,Director Report,Loughran & McDonald
2010,284,12,9,0.0423,0.0317,0.1429,0.0739,Dhanalakshmi,Auditor Report,Loughran & McDonald
2011,344,12,14,0.0349,0.0407,-0.0769,0.0756,Dhanalakshmi,Auditor Report,Loughran & McDonald
2012,344,12,14,0.0349,0.0407,-0.0769,0.0756,Dhanalakshmi,Auditor Report,Loughran & McDonald
2013,425,19,19,0.0447,0.0447,0,0.0894,Dhanalakshmi,Auditor Report,Loughran & McDonald
2014,534,22,20,0.0412,0.0375,0.0476,0.0787,Dhanalakshmi,Auditor Report,Loughran & McDonald
2015,636,24,32,0.0377,0.0503,-0.1429,0.0881,Dhanalakshmi,Auditor Report,Loughran & McDonald
2016,636,24,32,0.0377,0.0503,-0.1429,0.0881,Dhanalakshmi,Auditor Report,Loughran & McDonald
2017,990,35,44,0.0354,0.0444,-0.1139,0.0798,Dhanalakshmi,Auditor Report,Loughran & McDonald
2018,990,35,44,0.0354,0.0444,-0.1139,0.0798,Dhanalakshmi,Auditor Report,Loughran & McDonald
2019,1812,70,90,0.0386,0.0497,-0.125,0.0883,Dhanalakshmi,Auditor Report,Loughran & McDonald
2020,1737,71,88,0.0409,0.0507,-0.1069,0.0915,Dhanalakshmi,Auditor Report,Loughran & McDonald
2021,2306,74,97,0.0321,0.0421,-0.1345,0.0742,Dhanalakshmi,Auditor Report,Loughran & McDonald
2010,306,14,10,0.0458,0.0327,0.1667,0.0784,Lakshmi Vilas,Auditor Report,Loughran & McDonald
2011,302,14,10,0.0464,0.0331,0.1667,0.0795,Lakshmi Vilas,Auditor Report,Loughran & McDonald
2012,463,18,19,0.0389,0.041,-0.027,0.0799,Lakshmi Vilas,Auditor Report,Loughran & McDonald
2013,463,18,19,0.0389,0.041,-0.027,0.0799,Lakshmi Vilas,Auditor Report,Loughran & McDonald
2014,554,21,22,0.0379,0.0397,-0.0233,0.0776,Lakshmi Vilas,Auditor Report,Loughran & McDonald
2015,543,23,28,0.0424,0.0516,-0.098,0.0939,Lakshmi Vilas,Auditor Report,Loughran & McDonald
2016,999,38,47,0.038,0.047,-0.1059,0.0851,Lakshmi Vilas,Auditor Report,Loughran & McDonald
2017,1044,41,51,0.0393,0.0489,-0.1087,0.0881,Lakshmi Vilas,Auditor Report,Loughran & McDonald
2018,1074,40,51,0.0372,0.0475,-0.1209,0.0847,Lakshmi Vilas,Auditor Report,Loughran & McDonald
2019,2034,70,105,0.0344,0.0516,-0.2,0.086,Lakshmi Vilas,Auditor Report,Loughran & McDonald
2020,2668,74,141,0.0277,0.0528,-0.3116,0.0806,Lakshmi Vilas,Auditor Report,Loughran & McDonald
2010,1211,54,17,0.0446,0.014,0.5211,0.0586,Lakshmi Vilas,Director Report,Loughran & McDonald
2011,1756,83,23,0.0473,0.0131,0.566,0.0604,Lakshmi Vilas,Director Report,Loughran & McDonald
2012,1630,67,35,0.0411,0.0215,0.3137,0.0626,Lakshmi Vilas,Director Report,Loughran & McDonald
2013,1630,67,35,0.0411,0.0215,0.3137,0.0626,Lakshmi Vilas,Director Report,Loughran & McDonald
2014,2476,77,101,0.0311,0.0408,-0.1348,0.0719,Lakshmi Vilas,Director Report,Loughran & McDonald
2015,3047,129,94,0.0423,0.0309,0.157,0.0732,Lakshmi Vilas,Director Report,Loughran & McDonald
2016,2864,106,76,0.037,0.0265,0.1648,0.0635,Lakshmi Vilas,Director Report,Loughran & McDonald
2017,4072,137,107,0.0336,0.0263,0.123,0.0599,Lakshmi Vilas,Director Report,Loughran & McDonald
2018,4044,118,131,0.0292,0.0324,-0.0522,0.0616,Lakshmi Vilas,Director Report,Loughran & McDonald
2019,4353,108,106,0.0248,0.0244,0.0093,0.0492,Lakshmi Vilas,Director Report,Loughran & McDonald
2020,5460,112,194,0.0205,0.0355,-0.268,0.056,Lakshmi Vilas,Director Report,Loughran & McDonald
